item_id,name,category,brand,price,description
P00036,Apple Business Laptop 36,electronics,Apple,1608.24,"Apple Business Laptop with Intel i5, 32GB RAM, 1TB HDD storage, 15-inch display. Durable for work, gaming, and productivity."
P00037,Apple Ultrabook Laptop 37,electronics,Apple,1620.07,"Apple Ultrabook Laptop with Intel i7, 32GB RAM, 512GB SSD storage, 15-inch display. Durable for work, gaming, and productivity."
P00038,Lenovo Ultrabook Laptop 38,electronics,Lenovo,1413.43,"Lenovo Ultrabook Laptop with Intel i7, 8GB RAM, 512GB SSD storage, 15-inch display. Stylish for work, gaming, and productivity."
P00039,Apple Ultrabook Laptop 39,electronics,Apple,687.99,"Apple Ultrabook Laptop with AMD Ryzen 7, 32GB RAM, 256GB SSD storage, 13-inch display. Durable for work, gaming, and productivity."
P00040,Microsoft Business Laptop 40,electronics,Microsoft,775.8,"Microsoft Business Laptop with Intel i5, 16GB RAM, 256GB SSD storage, 15-inch display. Durable for work, gaming, and productivity."
P00041,Apple Gaming Laptop 41,electronics,Apple,789.65,"Apple Gaming Laptop with Intel i5, 32GB RAM, 1TB HDD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00042,Asus Business Laptop 42,electronics,Asus,1753.74,"Asus Business Laptop with Intel i7, 8GB RAM, 256GB SSD storage, 17-inch display. Durable for work, gaming, and productivity."
P00043,Acer 2-in-1 Laptop 43,electronics,Acer,1740.59,"Acer 2-in-1 Laptop with AMD Ryzen 5, 32GB RAM, 256GB SSD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00044,Dell Ultrabook Laptop 44,electronics,Dell,1300.43,"Dell Ultrabook Laptop with AMD Ryzen 5, 8GB RAM, 256GB SSD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00045,Dell Gaming Laptop 45,electronics,Dell,1928.8,"Dell Gaming Laptop with AMD Ryzen 7, 32GB RAM, 512GB SSD storage, 15-inch display. Stylish for work, gaming, and productivity."
P00046,Dell Ultrabook Laptop 46,electronics,Dell,698.85,"Dell Ultrabook Laptop with AMD Ryzen 7, 16GB RAM, 512GB SSD storage, 13-inch display. Durable for work, gaming, and productivity."
P00047,Microsoft Ultrabook Laptop 47,electronics,Microsoft,568.7,"Microsoft Ultrabook Laptop with AMD Ryzen 7, 8GB RAM, 512GB SSD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00048,Asus Business Laptop 48,electronics,Asus,1125.36,"Asus Business Laptop with AMD Ryzen 7, 16GB RAM, 512GB SSD storage, 13-inch display. Lightweight for work, gaming, and productivity."
P00049,Lenovo 2-in-1 Laptop 49,electronics,Lenovo,676.32,"Lenovo 2-in-1 Laptop with AMD Ryzen 7, 8GB RAM, 256GB SSD storage, 17-inch display. Premium for work, gaming, and productivity."
P00050,HP 2-in-1 Laptop 50,electronics,HP,1471.62,"HP 2-in-1 Laptop with Intel i5, 16GB RAM, 256GB SSD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00051,Acer Business Laptop 51,electronics,Acer,1984.72,"Acer Business Laptop with Intel i5, 32GB RAM, 512GB SSD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00052,Asus Ultrabook Laptop 52,electronics,Asus,1196.29,"Asus Ultrabook Laptop with AMD Ryzen 7, 32GB RAM, 256GB SSD storage, 15-inch display. Lightweight for work, gaming, and productivity."
P00053,Asus 2-in-1 Laptop 53,electronics,Asus,1467.17,"Asus 2-in-1 Laptop with AMD Ryzen 7, 8GB RAM, 512GB SSD storage, 15-inch display. Comfortable for work, gaming, and productivity."
P00054,HP 2-in-1 Laptop 54,electronics,HP,811.52,"HP 2-in-1 Laptop with Intel i7, 8GB RAM, 512GB SSD storage, 15-inch display. Premium for work, gaming, and productivity."
P00055,HP Business Laptop 55,electronics,HP,1765.87,"HP Business Laptop with Intel i5, 8GB RAM, 256GB SSD storage, 13-inch display. Lightweight for work, gaming, and productivity."
P00056,Apple 2-in-1 Laptop 56,electronics,Apple,1530.99,"Apple 2-in-1 Laptop with AMD Ryzen 5, 8GB RAM, 512GB SSD storage, 17-inch display. Stylish for work, gaming, and productivity."
P00057,Lenovo Gaming Laptop 57,electronics,Lenovo,1188.01,"Lenovo Gaming Laptop with Intel i5, 32GB RAM, 1TB HDD storage, 13-inch display. Lightweight for work, gaming, and productivity."
P00058,Dell Ultrabook Laptop 58,electronics,Dell,1530.13,"Dell Ultrabook Laptop with Intel i5, 32GB RAM, 1TB HDD storage, 15-inch display. Sleek for work, gaming, and productivity."
P00059,HP Business Laptop 59,electronics,HP,1343.3,"HP Business Laptop with Intel i5, 16GB RAM, 256GB SSD storage, 15-inch display. Durable for work, gaming, and productivity."
P00060,Lenovo Gaming Laptop 60,electronics,Lenovo,1366.37,"Lenovo Gaming Laptop with AMD Ryzen 5, 8GB RAM, 256GB SSD storage, 17-inch display. Stylish for work, gaming, and productivity."
P00061,Acer 2-in-1 Laptop 61,electronics,Acer,614.47,"Acer 2-in-1 Laptop with Intel i7, 32GB RAM, 1TB HDD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00062,Microsoft Ultrabook Laptop 62,electronics,Microsoft,1435.98,"Microsoft Ultrabook Laptop with AMD Ryzen 7, 16GB RAM, 256GB SSD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00063,Dell Ultrabook Laptop 63,electronics,Dell,538.78,"Dell Ultrabook Laptop with Intel i5, 16GB RAM, 1TB HDD storage, 15-inch display. Stylish for work, gaming, and productivity."
P00064,Microsoft Gaming Laptop 64,electronics,Microsoft,1543.47,"Microsoft Gaming Laptop with Intel i7, 32GB RAM, 1TB HDD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00065,Dell 2-in-1 Laptop 65,electronics,Dell,888.92,"Dell 2-in-1 Laptop with AMD Ryzen 5, 16GB RAM, 256GB SSD storage, 15-inch display. Stylish for work, gaming, and productivity."
P00066,Dell Business Laptop 66,electronics,Dell,1205.29,"Dell Business Laptop with Intel i7, 8GB RAM, 256GB SSD storage, 13-inch display. Sleek for work, gaming, and productivity."
P00067,Dell Ultrabook Laptop 67,electronics,Dell,1706.12,"Dell Ultrabook Laptop with AMD Ryzen 7, 8GB RAM, 512GB SSD storage, 15-inch display. Stylish for work, gaming, and productivity."
P00068,HP Business Laptop 68,electronics,HP,992.62,"HP Business Laptop with AMD Ryzen 7, 16GB RAM, 1TB HDD storage, 13-inch display. High-performance for work, gaming, and productivity."
P00069,Microsoft Business Laptop 69,electronics,Microsoft,671.75,"Microsoft Business Laptop with AMD Ryzen 7, 16GB RAM, 256GB SSD storage, 17-inch display. Durable for work, gaming, and productivity."
P00070,HP Business Laptop 70,electronics,HP,1216.09,"HP Business Laptop with Intel i5, 8GB RAM, 256GB SSD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00071,Lenovo Ultrabook Laptop 71,electronics,Lenovo,1464.26,"Lenovo Ultrabook Laptop with Intel i5, 16GB RAM, 1TB HDD storage, 13-inch display. Stylish for work, gaming, and productivity."
P00072,Lenovo 2-in-1 Laptop 72,electronics,Lenovo,1900.2,"Lenovo 2-in-1 Laptop with AMD Ryzen 5, 16GB RAM, 1TB HDD storage, 13-inch display. High-performance for work, gaming, and productivity."
P00073,HP Business Laptop 73,electronics,HP,822.5,"HP Business Laptop with Intel i5, 16GB RAM, 1TB HDD storage, 13-inch display. High-performance for work, gaming, and productivity."
P00074,Microsoft 2-in-1 Laptop 74,electronics,Microsoft,1009.9,"Microsoft 2-in-1 Laptop with AMD Ryzen 7, 32GB RAM, 1TB HDD storage, 15-inch display. Comfortable for work, gaming, and productivity."
P00075,Lenovo 2-in-1 Laptop 75,electronics,Lenovo,950.02,"Lenovo 2-in-1 Laptop with AMD Ryzen 5, 8GB RAM, 1TB HDD storage, 15-inch display. Premium for work, gaming, and productivity."
P00076,Lenovo Business Laptop 76,electronics,Lenovo,786.68,"Lenovo Business Laptop with Intel i5, 8GB RAM, 256GB SSD storage, 15-inch display. Sleek for work, gaming, and productivity."
P00077,Acer Business Laptop 77,electronics,Acer,670.87,"Acer Business Laptop with Intel i5, 16GB RAM, 512GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00078,Asus Business Laptop 78,electronics,Asus,1111.62,"Asus Business Laptop with AMD Ryzen 7, 8GB RAM, 512GB SSD storage, 15-inch display. Lightweight for work, gaming, and productivity."
P00079,Lenovo Gaming Laptop 79,electronics,Lenovo,1766.9,"Lenovo Gaming Laptop with AMD Ryzen 5, 16GB RAM, 256GB SSD storage, 13-inch display. Stylish for work, gaming, and productivity."
P00080,Lenovo 2-in-1 Laptop 80,electronics,Lenovo,536.38,"Lenovo 2-in-1 Laptop with Intel i7, 16GB RAM, 512GB SSD storage, 17-inch display. Premium for work, gaming, and productivity."
P00081,Acer Gaming Laptop 81,electronics,Acer,1073.79,"Acer Gaming Laptop with AMD Ryzen 5, 8GB RAM, 1TB HDD storage, 15-inch display. Premium for work, gaming, and productivity."
P00082,Microsoft Ultrabook Laptop 82,electronics,Microsoft,656.16,"Microsoft Ultrabook Laptop with Intel i5, 8GB RAM, 1TB HDD storage, 13-inch display. High-performance for work, gaming, and productivity."
P00083,Microsoft Ultrabook Laptop 83,electronics,Microsoft,1058.46,"Microsoft Ultrabook Laptop with Intel i5, 32GB RAM, 512GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00084,Dell Business Laptop 84,electronics,Dell,945.05,"Dell Business Laptop with AMD Ryzen 7, 16GB RAM, 256GB SSD storage, 15-inch display. High-performance for work, gaming, and productivity."
P00085,Dell Business Laptop 85,electronics,Dell,1727.32,"Dell Business Laptop with Intel i7, 32GB RAM, 1TB HDD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00086,Microsoft 2-in-1 Laptop 86,electronics,Microsoft,1723.93,"Microsoft 2-in-1 Laptop with AMD Ryzen 7, 32GB RAM, 512GB SSD storage, 17-inch display. Stylish for work, gaming, and productivity."
P00087,Dell Gaming Laptop 87,electronics,Dell,1690.72,"Dell Gaming Laptop with AMD Ryzen 7, 16GB RAM, 512GB SSD storage, 15-inch display. Stylish for work, gaming, and productivity."
P00088,Asus Gaming Laptop 88,electronics,Asus,748.36,"Asus Gaming Laptop with Intel i7, 16GB RAM, 512GB SSD storage, 13-inch display. Durable for work, gaming, and productivity."
P00089,Lenovo Gaming Laptop 89,electronics,Lenovo,1803.86,"Lenovo Gaming Laptop with Intel i7, 8GB RAM, 256GB SSD storage, 15-inch display. Durable for work, gaming, and productivity."
P00090,HP Ultrabook Laptop 90,electronics,HP,1281.16,"HP Ultrabook Laptop with Intel i7, 16GB RAM, 256GB SSD storage, 13-inch display. Stylish for work, gaming, and productivity."
P00091,Apple 2-in-1 Laptop 91,electronics,Apple,1725.18,"Apple 2-in-1 Laptop with AMD Ryzen 7, 16GB RAM, 1TB HDD storage, 17-inch display. High-performance for work, gaming, and productivity."
P00092,Microsoft Ultrabook Laptop 92,electronics,Microsoft,931.68,"Microsoft Ultrabook Laptop with Intel i5, 8GB RAM, 512GB SSD storage, 13-inch display. Comfortable for work, gaming, and productivity."
P00093,Apple Business Laptop 93,electronics,Apple,1485.52,"Apple Business Laptop with AMD Ryzen 5, 8GB RAM, 256GB SSD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00094,HP Ultrabook Laptop 94,electronics,HP,1648.0,"HP Ultrabook Laptop with Intel i5, 32GB RAM, 1TB HDD storage, 13-inch display. Durable for work, gaming, and productivity."
P00095,Asus Ultrabook Laptop 95,electronics,Asus,998.1,"Asus Ultrabook Laptop with Intel i5, 16GB RAM, 256GB SSD storage, 17-inch display. Stylish for work, gaming, and productivity."
P00096,Lenovo Gaming Laptop 96,electronics,Lenovo,1151.89,"Lenovo Gaming Laptop with Intel i5, 32GB RAM, 256GB SSD storage, 13-inch display. Lightweight for work, gaming, and productivity."
P00097,HP 2-in-1 Laptop 97,electronics,HP,1551.51,"HP 2-in-1 Laptop with Intel i5, 8GB RAM, 1TB HDD storage, 17-inch display. Durable for work, gaming, and productivity."
P00098,Apple 2-in-1 Laptop 98,electronics,Apple,1838.37,"Apple 2-in-1 Laptop with AMD Ryzen 5, 8GB RAM, 256GB SSD storage, 15-inch display. Premium for work, gaming, and productivity."
P00099,HP 2-in-1 Laptop 99,electronics,HP,1767.12,"HP 2-in-1 Laptop with Intel i5, 32GB RAM, 512GB SSD storage, 17-inch display. Sleek for work, gaming, and productivity."
P00100,HP Gaming Laptop 100,electronics,HP,1156.21,"HP Gaming Laptop with AMD Ryzen 7, 16GB RAM, 512GB SSD storage, 17-inch display. Comfortable for work, gaming, and productivity."
P00101,Samsung Budget Smartphone 101,electronics,Samsung,672.85,"Samsung Budget Smartphone with 6.1-inch display, 48MP camera, 5000mAh battery, and 64GB storage. High-performance for daily use and photography."
P00102,Xiaomi Mid-range Smartphone 102,electronics,Xiaomi,1054.41,"Xiaomi Mid-range Smartphone with 6.1-inch display, 48MP camera, 4000mAh battery, and 128GB storage. Comfortable for daily use and photography."
P00103,Xiaomi Mid-range Smartphone 103,electronics,Xiaomi,602.89,"Xiaomi Mid-range Smartphone with 6.5-inch display, 48MP camera, 5000mAh battery, and 128GB storage. Durable for daily use and photography."
P00104,OnePlus Mid-range Smartphone 104,electronics,OnePlus,1228.59,"OnePlus Mid-range Smartphone with 6.5-inch display, 108MP camera, 4000mAh battery, and 128GB storage. Lightweight for daily use and photography."
P00105,OnePlus Mid-range Smartphone 105,electronics,OnePlus,1890.2,"OnePlus Mid-range Smartphone with 6.1-inch display, 108MP camera, 5000mAh battery, and 256GB storage. Stylish for daily use and photography."
P00106,Apple Mid-range Smartphone 106,electronics,Apple,887.73,"Apple Mid-range Smartphone with 6.1-inch display, 48MP camera, 3000mAh battery, and 64GB storage. Premium for daily use and photography."
P00107,Oppo Flagship Smartphone 107,electronics,Oppo,1875.48,"Oppo Flagship Smartphone with 6.5-inch display, 12MP camera, 3000mAh battery, and 256GB storage. High-performance for daily use and photography."
P00108,Samsung Flagship Smartphone 108,electronics,Samsung,1418.35,"Samsung Flagship Smartphone with 6.5-inch display, 108MP camera, 5000mAh battery, and 256GB storage. Premium for daily use and photography."
P00109,Huawei Budget Smartphone 109,electronics,Huawei,1708.2,"Huawei Budget Smartphone with 6.1-inch display, 12MP camera, 5000mAh battery, and 128GB storage. Premium for daily use and photography."
P00110,Apple Budget Smartphone 110,electronics,Apple,1817.39,"Apple Budget Smartphone with 6.7-inch display, 48MP camera, 3000mAh battery, and 256GB storage. Durable for daily use and photography."
P00111,Samsung Budget Smartphone 111,electronics,Samsung,1062.73,"Samsung Budget Smartphone with 6.1-inch display, 108MP camera, 3000mAh battery, and 64GB storage. Sleek for daily use and photography."
P00112,Xiaomi Mid-range Smartphone 112,electronics,Xiaomi,1486.29,"Xiaomi Mid-range Smartphone with 6.7-inch display, 108MP camera, 5000mAh battery, and 128GB storage. Lightweight for daily use and photography."
P00113,Oppo Flagship Smartphone 113,electronics,Oppo,1418.43,"Oppo Flagship Smartphone with 6.5-inch display, 12MP camera, 3000mAh battery, and 128GB storage. Durable for daily use and photography."
P00114,Huawei Budget Smartphone 114,electronics,Huawei,574.62,"Huawei Budget Smartphone with 6.5-inch display, 108MP camera, 3000mAh battery, and 64GB storage. Stylish for daily use and photography."
P00115,Xiaomi Budget Smartphone 115,electronics,Xiaomi,1714.49,"Xiaomi Budget Smartphone with 6.7-inch display, 108MP camera, 4000mAh battery, and 256GB storage. Comfortable for daily use and photography."
P00116,Huawei Budget Smartphone 116,electronics,Huawei,517.64,"Huawei Budget Smartphone with 6.1-inch display, 12MP camera, 3000mAh battery, and 128GB storage. Comfortable for daily use and photography."
P00117,OnePlus Budget Smartphone 117,electronics,OnePlus,1522.84,"OnePlus Budget Smartphone with 6.5-inch display, 48MP camera, 3000mAh battery, and 128GB storage. High-performance for daily use and photography."
P00118,Google Mid-range Smartphone 118,electronics,Google,534.95,"Google Mid-range Smartphone with 6.1-inch display, 108MP camera, 4000mAh battery, and 128GB storage. Lightweight for daily use and photography."
P00119,OnePlus Budget Smartphone 119,electronics,OnePlus,1371.18,"OnePlus Budget Smartphone with 6.7-inch display, 48MP camera, 4000mAh battery, and 128GB storage. Stylish for daily use and photography."
P00120,Xiaomi Flagship Smartphone 120,electronics,Xiaomi,1034.52,"Xiaomi Flagship Smartphone with 6.5-inch display, 12MP camera, 4000mAh battery, and 128GB storage. Sleek for daily use and photography."
P00121,Oppo Budget Smartphone 121,electronics,Oppo,1969.15,"Oppo Budget Smartphone with 6.7-inch display, 12MP camera, 5000mAh battery, and 64GB storage. Lightweight for daily use and photography."
P00122,Google Budget Smartphone 122,electronics,Google,1303.95,"Google Budget Smartphone with 6.1-inch display, 48MP camera, 5000mAh battery, and 64GB storage. High-performance for daily use and photography."
P00123,Oppo Mid-range Smartphone 123,electronics,Oppo,1444.57,"Oppo Mid-range Smartphone with 6.7-inch display, 108MP camera, 5000mAh battery, and 64GB storage. Stylish for daily use and photography."
P00124,Huawei Budget Smartphone 124,electronics,Huawei,522.26,"Huawei Budget Smartphone with 6.7-inch display, 12MP camera, 3000mAh battery, and 256GB storage. Comfortable for daily use and photography."
P00125,Samsung Mid-range Smartphone 125,electronics,Samsung,1874.34,"Samsung Mid-range Smartphone with 6.7-inch display, 48MP camera, 5000mAh battery, and 128GB storage. Durable for daily use and photography."
P00126,OnePlus Budget Smartphone 126,electronics,OnePlus,517.26,"OnePlus Budget Smartphone with 6.5-inch display, 12MP camera, 5000mAh battery, and 128GB storage. Lightweight for daily use and photography."
P00127,Huawei Budget Smartphone 127,electronics,Huawei,560.49,"Huawei Budget Smartphone with 6.7-inch display, 12MP camera, 3000mAh battery, and 256GB storage. Stylish for daily use and photography."
P00128,Oppo Mid-range Smartphone 128,electronics,Oppo,895.96,"Oppo Mid-range Smartphone with 6.1-inch display, 48MP camera, 3000mAh battery, and 256GB storage. Lightweight for daily use and photography."
P00129,Samsung Flagship Smartphone 129,electronics,Samsung,1098.32,"Samsung Flagship Smartphone with 6.5-inch display, 108MP camera, 3000mAh battery, and 256GB storage. Lightweight for daily use and photography."
P00130,Google Budget Smartphone 130,electronics,Google,1390.02,"Google Budget Smartphone with 6.1-inch display, 48MP camera, 5000mAh battery, and 64GB storage. Durable for daily use and photography."
P00131,Oppo Flagship Smartphone 131,electronics,Oppo,705.52,"Oppo Flagship Smartphone with 6.1-inch display, 108MP camera, 4000mAh battery, and 256GB storage. Lightweight for daily use and photography."
P00132,Google Budget Smartphone 132,electronics,Google,1309.17,"Google Budget Smartphone with 6.5-inch display, 108MP camera, 3000mAh battery, and 64GB storage. Premium for daily use and photography."
P00133,Samsung Flagship Smartphone 133,electronics,Samsung,639.06,"Samsung Flagship Smartphone with 6.1-inch display, 48MP camera, 4000mAh battery, and 128GB storage. Durable for daily use and photography."
P00134,Xiaomi Mid-range Smartphone 134,electronics,Xiaomi,904.07,"Xiaomi Mid-range Smartphone with 6.5-inch display, 48MP camera, 3000mAh battery, and 256GB storage. Sleek for daily use and photography."
P00135,Oppo Budget Smartphone 135,electronics,Oppo,1973.75,"Oppo Budget Smartphone with 6.1-inch display, 48MP camera, 4000mAh battery, and 256GB storage. Durable for daily use and photography."
P00136,Oppo Mid-range Smartphone 136,electronics,Oppo,1909.51,"Oppo Mid-range Smartphone with 6.7-inch display, 12MP camera, 3000mAh battery, and 128GB storage. High-performance for daily use and photography."
P00137,Samsung Mid-range Smartphone 137,electronics,Samsung,500.89,"Samsung Mid-range Smartphone with 6.7-inch display, 108MP camera, 4000mAh battery, and 64GB storage. Premium for daily use and photography."
P00138,Samsung Budget Smartphone 138,electronics,Samsung,644.12,"Samsung Budget Smartphone with 6.7-inch display, 108MP camera, 5000mAh battery, and 64GB storage. Comfortable for daily use and photography."
P00139,Apple Mid-range Smartphone 139,electronics,Apple,1559.78,"Apple Mid-range Smartphone with 6.7-inch display, 12MP camera, 3000mAh battery, and 256GB storage. Comfortable for daily use and photography."
P00140,Apple Budget Smartphone 140,electronics,Apple,1146.93,"Apple Budget Smartphone with 6.5-inch display, 108MP camera, 4000mAh battery, and 64GB storage. Stylish for daily use and photography."
P00141,Oppo Flagship Smartphone 141,electronics,Oppo,1562.39,"Oppo Flagship Smartphone with 6.7-inch display, 12MP camera, 3000mAh battery, and 128GB storage. Lightweight for daily use and photography."
P00142,Apple Mid-range Smartphone 142,electronics,Apple,737.88,"Apple Mid-range Smartphone with 6.5-inch display, 12MP camera, 5000mAh battery, and 128GB storage. Sleek for daily use and photography."
P00143,Xiaomi Flagship Smartphone 143,electronics,Xiaomi,538.24,"Xiaomi Flagship Smartphone with 6.7-inch display, 48MP camera, 3000mAh battery, and 256GB storage. Durable for daily use and photography."
P00144,Apple Budget Smartphone 144,electronics,Apple,938.06,"Apple Budget Smartphone with 6.7-inch display, 12MP camera, 4000mAh battery, and 64GB storage. High-performance for daily use and photography."
P00145,Apple Mid-range Smartphone 145,electronics,Apple,683.02,"Apple Mid-range Smartphone with 6.5-inch display, 108MP camera, 4000mAh battery, and 128GB storage. Lightweight for daily use and photography."
